,name,RMSE,R2_score
0,LinearRegression,575.8762008906998,0.9891401951330798
1,LinearRegression,575.8762008906998,0.9891401951330798
2,Lasso,582.3962390276511,0.9889147035191103
3,Ridge,575.8762009346067,0.989140195129297
4,SVR,17092.672980663625,-130362.52925359421
5,KNeighborsRegressor,16226.720524757495,-0.6552873200203657
6,DecisionTreeRegressor,1253.285263800582,0.9516303876131222
7,RandomForestRegressor,799.3337695817395,0.9785036190120183
8,GradientBoostingRegressor,941.8300681587705,0.9686709698423888
9,XGBRegressor,976.56494140625,0.9665952920913696
